emoji,subcat
🗽,place-building
🏥,place-building
🏩,place-building
🧱,place-building
🏰,place-building
🏟️,place-building
🗼,place-building
🏦,place-building
🏢,place-building
🏨,place-building
🏯,place-building
🏛️,place-building
🏪,place-building
🏬,place-building
🏚️,place-building
🏗️,place-building
🏭,place-building
🏣,place-building
🏤,place-building
🏖️,place-geographic
🏞️,place-geographic
🏝️,place-geographic
🌋,place-geographic
🏔️,place-geographic
🏕️,place-geographic
🏜️,place-geographic
🗻,place-geographic
⛰️,place-geographic
🌎,place-map
🌍,place-map
🌏,place-map
🌐,place-map
🗺️,place-map
🗾,place-map
🧭,place-map
🌄,place-other
🌃,place-other
🌅,place-other
🌉,place-other
♨️,place-other
🌆,place-other
💈,place-other
🎡,place-other
🎪,place-other
🌇,place-other
🎠,place-other
🎢,place-other
⛲,place-other
⛺,place-other
🏙️,place-other
🌁,place-other
🕋,place-religious
🕌,place-religious
⛩️,place-religious
⛪,place-religious
🕍,place-religious
🛕,place-religious
🌹,plant-flower
💐,plant-flower
🌸,plant-flower
🌻,plant-flower
🌺,plant-flower
🌷,plant-flower
🌼,plant-flower
🥀,plant-flower
🏵️,plant-flower
💮,plant-flower
🍀,plant-other
🌿,plant-other
🍃,plant-other
🌱,plant-other
🌴,plant-other
☘️,plant-other
🍁,plant-other
🌳,plant-other
🍂,plant-other
🌵,plant-other
🌾,plant-other
🌲,plant-other
❗,punctuation
‼️,punctuation
❓,punctuation
⁉️,punctuation
〰️,punctuation
❕,punctuation
❔,punctuation
✝️,religion
☮️,religion
🛐,religion
🕉️,religion
☪️,religion
☯️,religion
✡️,religion
🔯,religion
⚛️,religion
☦️,religion
☸️,religion
🕎,religion
🧬,science
📡,science
🧪,science
🔭,science
🧫,science
🔬,science
⚗️,science
⬚,skin-tone
🏻,skin-tone
🏼,skin-tone
🏽,skin-tone
🏾,skin-tone
🏿,skin-tone
🔥,sky & weather
🌞,sky & weather
☀️,sky & weather
🌟,sky & weather
🌈,sky & weather
🌙,sky & weather
⭐,sky & weather
⚡,sky & weather
🌚,sky & weather
🌊,sky & weather
❄️,sky & weather
💧,sky & weather
🌝,sky & weather
🌧️,sky & weather
☁️,sky & weather
🌠,sky & weather
☔,sky & weather
⛱️,sky & weather
🌀,sky & weather
☄️,sky & weather
🌛,sky & weather
🌜,sky & weather
🌕,sky & weather
🌌,sky & weather
🌪️,sky & weather
🌬️,sky & weather
🌨️,sky & weather
🌤️,sky & weather
⛈️,sky & weather
☃️,sky & weather
☂️,sky & weather
🌡️,sky & weather
⛄,sky & weather
🌑,sky & weather
⛅,sky & weather
🌫️,sky & weather
🪐,sky & weather
🌒,sky & weather
🌩️,sky & weather
🌥️,sky & weather
🌘,sky & weather
🌔,sky & weather
🌖,sky & weather
🌦️,sky & weather
🌗,sky & weather
🌂,sky & weather
🌓,sky & weather
📣,sound
📢,sound
🔔,sound
🔊,sound
📯,sound
🔉,sound
🔕,sound
🔈,sound
🔇,sound
⚽,sport
🏀,sport
⚾,sport
⛳,sport
🥊,sport
🎣,sport
🏈,sport
🥎,sport
🎾,sport
🏐,sport
🏒,sport
🏏,sport
🥋,sport
🏉,sport
🎳,sport
🥅,sport
🎽,sport
🎿,sport
🏓,sport
🏸,sport
🥍,sport
⛸️,sport
🏑,sport
🥏,sport
🤿,sport
🥌,sport
🛷,sport
🏴󠁧󠁢󠁳󠁣󠁴󠁿,subdivision-flag
